,K2,K3,K4,K5,K6,K7,K8,K9,K10,K11,K12
0,0,1,2,2,3,2,3,0,0,0,5
1,0,1,0,3,4,5,0,4,4,5,1
2,0,1,2,3,4,5,4,4,4,5,6
3,0,1,2,2,3,0,0,0,0,0,1
4,0,0,1,0,1,3,1,2,2,2,2
5,0,0,1,0,1,3,1,2,2,2,2
6,0,0,1,0,1,3,1,2,2,2,2
7,0,1,2,2,3,5,3,4,4,5,5
8,1,2,3,4,5,6,6,6,9,10,11
9,1,2,3,4,5,6,6,6,6,7,8
10,0,0,1,0,1,3,1,2,2,2,2
11,0,1,2,3,4,5,0,0,0,0,1
12,0,1,0,3,0,1,4,4,4,5,6
13,1,2,3,4,5,6,6,6,6,7,8
14,0,0,0,1,0,1,2,3,3,3,3
15,0,1,2,2,3,2,3,1,1,1,0
16,0,1,0,3,4,5,4,4,4,5,6
17,0,1,0,2,0,1,5,5,5,6,7
18,0,1,2,2,3,0,0,0,0,0,1
19,1,2,3,1,2,4,2,3,3,4,4
20,0,1,0,3,4,5,5,5,5,6,7
21,1,2,3,1,2,4,2,3,3,4,4
22,0,1,2,2,3,0,0,0,0,0,1
23,0,0,0,0,0,0,5,5,5,6,7
24,0,0,0,1,2,4,5,5,5,6,7
25,0,0,1,0,1,3,1,2,2,2,2
26,0,0,0,1,2,4,2,3,3,4,4
27,0,0,1,0,1,3,7,8,8,9,10
28,0,1,0,3,4,5,4,4,4,5,6
29,0,1,0,3,4,5,4,4,4,5,6
30,0,1,2,2,3,0,3,0,0,0,5
31,0,1,2,3,4,5,4,4,4,5,6
32,0,1,2,2,3,0,3,4,4,5,5
33,0,1,2,2,3,0,3,4,4,5,5
34,0,0,0,1,2,4,2,3,3,4,4
35,0,0,1,0,1,3,1,2,2,2,2
36,0,1,2,2,3,5,3,4,4,5,5
37,0,1,2,2,3,0,3,0,0,0,5
38,0,0,0,1,2,4,2,3,3,4,4
39,0,0,1,0,1,3,1,2,2,2,2
40,1,2,3,4,5,6,6,6,6,7,8
41,0,0,1,0,1,3,7,8,8,9,10
42,0,0,1,0,1,3,1,2,2,2,2
43,0,1,2,2,3,0,3,0,0,0,5
44,0,0,1,0,1,3,7,8,8,9,10
45,0,1,2,3,4,5,0,4,4,5,1
46,0,0,1,0,1,3,1,2,2,2,2
47,0,0,0,0,0,1,5,5,5,6,7
48,1,2,3,4,5,6,6,6,6,7,8
49,0,1,2,3,4,0,0,1,1,1,1
50,1,2,3,4,5,6,6,6,6,7,8
51,0,1,2,3,4,0,0,4,4,5,1
52,0,2,0,1,2,4,2,3,3,4,4
53,0,0,0,1,0,1,2,3,3,4,4
54,0,0,0,1,2,4,2,3,3,4,4
55,0,1,2,3,4,2,4,1,1,1,0
56,0,1,2,3,4,5,4,4,4,5,6
57,1,2,3,4,5,6,6,6,6,7,8
58,0,1,0,3,4,5,4,4,4,5,6
59,1,2,3,4,5,6,6,6,6,7,8
60,0,1,0,3,4,0,5,5,5,6,7
61,0,1,2,2,3,0,3,4,4,5,5
62,0,0,0,1,2,4,7,8,8,3,3
63,0,1,0,3,4,5,4,4,4,5,6
64,0,1,2,2,3,0,3,4,4,5,5
65,0,0,0,1,0,1,2,3,3,4,4
66,0,1,2,3,4,2,4,1,1,1,0
67,0,1,0,3,4,5,4,4,4,5,6
68,1,2,3,1,2,4,2,3,3,4,4
69,0,1,2,3,4,5,4,4,4,5,6
70,0,1,0,3,4,5,4,4,4,5,6
71,0,1,0,3,0,1,5,5,5,6,7
72,0,1,0,3,0,1,5,5,5,6,7
73,0,1,0,3,4,2,4,1,1,1,0
74,0,1,0,3,4,5,4,4,4,5,6
75,1,2,3,4,5,6,6,6,9,10,11
76,0,0,1,0,1,3,1,2,2,2,2
77,0,1,0,1,2,4,5,5,5,6,7
78,0,1,0,3,0,0,4,4,4,5,6
79,0,1,0,1,2,4,2,3,3,4,4
80,0,1,0,1,0,1,5,5,5,6,7
81,0,0,0,1,2,4,2,3,3,4,4
82,1,2,3,4,5,6,6,6,6,7,8
83,0,0,0,0,0,1,5,5,5,6,7
84,0,1,2,2,3,0,3,0,0,0,5
85,1,2,3,4,5,6,6,6,6,7,8
86,0,1,0,1,0,1,2,3,3,4,4
87,0,0,1,0,1,3,5,5,5,6,7
88,0,1,2,3,4,2,4,1,1,1,0
89,0,1,2,2,3,0,3,0,0,0,5
90,0,1,2,2,3,0,0,4,4,5,1
91,1,2,3,4,5,6,6,6,6,7,8
92,0,1,2,3,4,5,0,0,0,0,1
93,1,2,3,4,5,6,6,6,6,7,8
94,0,0,1,0,1,3,1,2,9,10,11
95,1,2,3,4,5,6,6,6,6,7,8
96,0,0,1,0,1,3,1,2,2,3,3
97,1,2,3,4,5,6,6,6,6,7,8
98,0,1,2,2,3,1,3,4,4,5,5
99,0,1,2,2,3,2,3,1,1,1,0
100,0,0,0,0,0,1,1,2,2,2,2
101,0,0,0,1,2,4,2,3,3,4,4
102,1,2,3,4,5,6,6,6,6,7,8
103,1,2,3,4,5,6,6,6,6,7,8
104,0,1,2,2,3,0,3,0,0,0,5
105,1,2,3,4,5,6,7,8,8,9,10
106,1,2,3,4,5,6,6,6,6,7,8
107,0,1,0,3,4,5,4,4,4,5,6
108,1,2,3,4,5,6,6,6,6,7,8
109,0,1,0,3,4,5,4,4,4,3,3
110,0,1,1,3,4,5,4,4,4,5,6
111,0,2,0,1,2,4,2,3,3,3,3
112,0,0,0,1,0,1,2,3,3,4,4
113,0,1,2,2,3,2,3,1,1,1,0
114,0,0,1,0,1,3,1,2,2,2,2
115,0,0,1,0,1,3,7,8,8,9,10
116,0,1,0,3,0,1,5,5,5,6,7
117,0,1,0,3,0,1,5,5,5,3,3
118,0,1,0,1,0,1,5,5,5,6,7
119,0,1,0,3,0,1,5,5,5,6,7
120,0,1,2,2,3,5,3,7,7,8,9
121,0,1,2,2,3,1,3,5,5,6,5
122,0,1,2,2,3,0,0,0,0,0,1
123,0,1,0,3,4,5,5,5,5,6,7
124,0,0,1,0,1,3,5,5,5,6,7
125,1,2,3,4,5,6,6,6,6,7,8
126,0,0,1,0,1,3,1,2,2,2,2
127,0,0,0,0,0,1,5,5,5,6,7
128,1,2,3,4,5,6,6,6,6,7,8
129,1,2,3,4,5,6,7,8,9,10,11
130,1,2,3,4,5,6,6,6,6,7,8
131,0,1,2,2,3,2,3,1,1,1,0
132,0,0,1,0,1,3,1,2,2,2,2
