,K2,K3,K4,K5,K6,K7,K8,K9,K10,K11,K12
0,1,0,1,0,1,0,7,7,7,7,7
1,1,0,1,0,1,0,7,7,7,7,7
2,1,0,1,0,1,0,2,2,0,5,11
3,1,0,1,0,1,0,7,7,7,7,7
4,0,1,0,1,0,1,1,0,6,6,6
5,0,1,0,1,0,1,1,0,6,6,6
6,1,0,1,0,5,5,5,5,5,2,2
7,1,0,1,0,5,5,5,5,5,2,2
8,0,1,0,4,4,4,4,1,1,1,0
9,0,2,2,2,2,2,0,4,4,4,4
10,0,1,0,1,0,6,6,6,2,0,5
11,1,0,1,0,1,0,7,7,7,7,7
12,1,0,3,3,3,3,3,3,3,3,1
13,0,2,2,2,2,2,0,4,4,4,4
14,0,1,0,1,0,1,1,0,6,6,6
15,1,0,1,0,1,0,2,2,0,5,11
16,1,0,3,3,3,3,3,3,3,3,1
17,1,0,1,0,5,5,5,5,5,2,2
18,1,0,1,0,5,5,5,5,5,2,2
19,0,1,0,4,4,4,4,1,1,1,0
20,1,0,3,3,3,3,3,3,3,3,1
21,0,1,0,4,4,4,4,1,1,1,0
22,1,0,1,0,5,5,5,5,5,2,2
23,1,0,1,0,5,5,5,5,5,2,2
24,0,1,0,1,0,6,6,6,2,0,3
25,1,0,1,0,5,5,5,5,5,2,2
26,0,1,0,1,0,1,1,0,9,9,9
27,0,1,0,1,0,1,1,0,6,6,6
28,1,0,3,3,3,3,3,3,3,3,1
29,1,0,1,0,1,0,2,2,0,5,11
30,1,0,1,0,5,5,5,5,5,2,2
31,1,0,1,0,5,5,5,5,5,2,2
32,1,0,1,0,5,5,5,5,5,2,2
33,1,0,1,0,5,5,5,5,5,2,2
34,0,1,0,4,4,4,4,1,1,1,0
35,1,0,1,0,5,5,5,5,5,2,2
36,1,0,1,0,5,5,5,5,5,2,2
37,1,0,1,0,5,5,5,5,5,2,2
38,0,1,0,1,0,1,1,0,9,9,9
39,0,1,0,1,0,6,6,6,2,0,3
40,0,2,2,2,2,2,0,8,8,8,8
41,0,1,0,1,0,1,1,0,9,9,9
42,0,1,0,1,0,1,1,0,6,6,6
43,1,0,1,0,5,5,5,5,5,2,2
44,0,1,0,1,0,1,1,0,6,6,6
45,1,0,1,0,1,0,7,7,7,7,7
46,0,1,0,1,0,1,1,0,6,6,6
47,0,1,0,1,0,6,6,6,2,0,3
48,0,2,2,2,2,2,0,4,4,4,4
49,1,0,1,0,1,0,7,7,7,7,7
50,0,1,0,4,4,4,4,1,1,1,0
51,1,0,1,0,1,0,7,7,7,7,7
52,0,1,0,4,4,4,4,1,1,1,0
53,0,1,0,1,0,6,6,6,2,0,3
54,0,1,0,1,0,1,1,0,9,9,9
55,1,0,1,0,1,0,7,7,7,7,7
56,1,0,1,0,5,5,5,5,5,2,2
57,0,1,0,1,0,1,1,0,9,9,9
58,1,0,3,3,3,3,3,3,3,3,1
59,0,2,2,2,2,2,0,8,8,8,8
60,1,0,3,3,3,3,3,3,3,3,1
61,1,0,1,0,5,5,5,5,5,2,2
62,0,1,0,1,0,1,1,0,9,9,9
63,1,0,1,0,5,5,5,5,5,2,2
64,1,0,1,0,5,5,5,5,5,2,2
65,0,1,0,1,0,6,6,6,2,0,3
66,1,0,1,0,5,5,5,5,5,2,2
67,1,0,3,3,3,3,3,3,3,3,1
68,0,2,2,2,2,2,0,8,8,8,8
69,1,0,1,0,1,0,7,7,7,7,7
70,1,0,3,3,3,3,3,3,3,3,1
71,1,0,1,0,5,5,5,5,5,2,2
72,0,1,0,1,0,6,6,6,2,0,5
73,1,0,1,0,1,0,7,7,7,7,7
74,1,0,1,0,1,0,7,7,7,7,7
