,K2,K3,K4,K5,K6,K7,K8,K9,K10,K11,K12
0,1,1,0,3,3,1,1,0,1,0,11
1,1,1,0,3,3,1,1,0,1,0,11
2,1,1,0,3,3,1,1,0,1,0,11
3,1,1,0,3,3,1,1,0,1,0,5
4,0,0,3,1,0,6,6,6,6,6,6
5,0,0,1,0,5,5,2,2,2,2,0
6,0,0,3,1,0,3,3,1,0,10,10
7,1,1,0,3,3,1,1,0,1,0,11
8,0,0,1,0,1,0,5,5,5,5,2
9,0,2,2,2,2,2,0,8,8,8,8
10,0,0,3,1,0,6,6,6,6,6,6
11,1,1,0,3,3,1,1,0,1,0,11
12,0,0,3,1,0,3,3,1,0,1,1
13,0,2,2,2,2,2,0,3,3,3,3
14,0,0,1,0,1,0,5,5,5,5,2
15,1,1,0,3,3,1,1,0,1,0,11
16,0,0,3,1,0,3,3,1,0,1,1
17,1,1,0,3,3,1,1,0,1,0,11
18,1,1,0,3,3,1,1,0,1,0,11
19,0,0,1,0,1,0,5,5,5,5,2
20,0,0,3,1,0,3,3,1,0,1,1
21,0,0,1,0,1,0,5,5,5,5,2
22,1,1,0,3,3,1,1,0,4,4,4
23,0,0,3,1,0,3,3,1,0,10,10
24,0,0,3,1,0,3,3,1,0,1,1
25,0,0,3,1,0,3,3,1,0,10,10
26,0,0,1,0,5,5,2,2,2,2,0
27,0,0,1,0,1,0,5,5,5,5,2
28,0,0,3,1,0,3,3,1,0,1,1
29,1,1,0,3,3,1,1,0,1,0,5
30,1,1,0,3,3,1,1,0,1,0,11
31,1,1,0,3,3,1,1,0,1,0,11
32,1,1,0,3,3,1,1,0,1,0,11
33,1,1,0,3,3,1,1,0,1,0,11
34,0,0,1,0,1,0,5,5,5,5,2
35,0,0,3,1,0,3,3,1,0,10,10
36,1,1,0,3,3,1,1,0,1,0,11
37,1,1,0,3,3,1,1,0,1,0,11
38,0,0,1,0,5,5,2,2,2,2,0
39,0,0,1,0,1,0,7,7,7,7,7
40,0,2,2,2,2,2,0,8,8,8,8
41,0,0,1,0,5,5,2,2,2,2,0
42,0,0,1,0,5,5,2,2,2,2,0
43,1,1,0,3,3,1,1,0,1,0,11
44,0,0,1,0,1,0,5,5,5,5,2
45,1,1,0,3,3,1,1,0,1,0,11
46,0,0,1,0,5,5,2,2,2,2,0
47,0,0,1,0,1,0,7,7,7,7,7
48,0,2,2,2,2,2,0,3,3,3,3
49,1,1,0,3,3,1,1,0,1,0,5
50,0,0,1,0,1,0,5,5,5,5,2
51,1,1,0,3,3,1,1,0,1,0,11
52,0,0,1,0,1,0,5,5,5,5,2
53,0,0,3,1,0,3,3,1,0,1,1
54,0,0,1,0,5,5,2,2,2,2,0
55,1,1,0,3,3,1,1,0,1,0,11
56,1,1,0,3,3,1,1,0,1,0,11
57,0,2,2,2,2,2,0,3,3,3,3
58,0,0,3,1,0,3,3,1,0,1,1
59,0,2,2,2,2,2,0,3,3,3,3
60,1,1,0,3,3,1,1,0,1,0,11
61,1,1,0,3,3,1,1,0,1,0,11
62,0,0,1,0,5,5,2,2,2,2,0
63,0,0,3,1,0,3,3,1,0,10,10
64,1,1,0,3,3,1,1,0,1,0,11
65,0,0,1,0,1,0,7,7,7,7,7
66,1,1,0,3,3,1,1,0,1,0,11
67,0,0,3,1,0,3,3,1,0,1,1
68,0,2,2,2,2,2,0,8,8,8,8
69,1,1,0,3,3,1,1,0,1,0,11
70,1,1,0,3,3,1,1,0,4,4,4
71,0,0,3,1,0,3,3,1,0,10,10
72,0,0,3,1,0,3,3,1,0,1,1
73,1,1,0,3,3,1,1,0,1,0,11
74,1,1,0,3,3,1,1,0,1,0,11
75,0,0,1,0,1,0,5,5,5,5,2
76,0,0,3,1,0,6,6,6,6,6,6
77,0,0,3,1,0,3,3,1,0,1,1
78,1,1,0,3,3,1,1,0,1,0,11
79,0,0,1,0,1,0,5,5,5,5,2
80,0,0,3,1,0,3,3,1,0,1,1
81,0,0,1,0,1,0,5,5,5,5,2
82,0,2,2,2,2,2,0,8,8,8,8
83,0,0,3,1,0,3,3,1,0,1,1
84,1,1,0,3,3,1,1,0,1,0,11
85,0,2,2,2,2,2,0,3,3,3,3
86,0,0,1,0,1,0,5,5,5,5,2
87,0,0,1,0,5,5,2,2,2,2,0
88,1,1,0,3,3,1,1,0,1,0,5
89,1,1,0,3,3,1,1,0,1,0,11
90,1,1,0,3,3,1,1,0,1,0,11
91,0,2,2,2,2,2,0,3,3,3,3
92,1,1,0,4,4,4,4,4,9,9,9
93,0,2,2,2,2,2,0,3,3,3,3
94,0,0,1,0,5,5,2,2,2,2,0
95,0,2,2,2,2,2,0,3,3,3,3
96,0,0,1,0,1,0,5,5,5,5,2
97,0,2,2,2,2,2,0,8,8,8,8
98,1,1,0,3,3,1,1,0,1,0,11
99,1,1,0,3,3,1,1,0,1,0,5
100,0,0,3,1,0,3,3,1,0,10,10
101,0,0,1,0,1,0,5,5,5,5,2
102,0,2,2,2,2,2,0,8,8,8,8
103,0,2,2,2,2,2,0,3,3,3,3
104,1,1,0,3,3,1,1,0,1,0,11
105,0,2,2,2,2,2,0,8,8,8,8
106,0,2,2,2,2,2,0,8,8,8,8
107,1,1,0,3,3,1,1,0,1,0,5
108,0,0,1,0,1,0,7,7,7,7,7
109,1,1,0,3,3,1,1,0,1,0,5
110,0,0,3,1,0,3,3,1,0,10,10
111,0,2,2,2,2,2,0,8,8,8,8
112,0,0,3,1,0,3,3,1,0,1,1
113,1,1,0,3,3,1,1,0,1,0,5
114,0,0,3,1,0,6,6,6,6,6,6
115,0,0,3,1,0,6,6,6,6,6,6
116,0,0,3,1,0,3,3,1,0,1,1
117,0,0,3,1,0,3,3,1,0,1,1
118,0,0,3,1,0,3,3,1,0,1,1
119,0,0,3,1,0,3,3,1,0,1,1
120,1,1,0,4,4,4,4,4,9,9,9
121,1,1,0,3,3,1,1,0,1,0,5
122,1,1,0,3,3,1,1,0,4,4,4
123,0,0,3,1,0,3,3,1,0,1,1
124,0,0,3,1,0,6,6,6,6,6,6
125,0,2,2,2,2,2,0,8,8,8,8
126,0,0,3,1,0,6,6,6,6,6,6
127,0,0,1,0,1,0,5,5,5,5,2
128,0,2,2,2,2,2,0,3,3,3,3
129,0,0,1,0,1,0,5,5,5,5,2
130,0,2,2,2,2,2,0,3,3,3,3
131,1,1,0,3,3,1,1,0,1,0,5
132,0,0,3,1,0,3,3,1,0,1,1
133,0,0,3,1,0,3,3,1,0,10,10
134,1,1,0,3,3,1,1,0,1,0,11
135,0,0,3,1,0,3,3,1,0,1,1
136,0,2,2,2,2,2,0,8,8,8,8
137,1,1,0,3,3,1,1,0,1,0,11
138,1,1,0,3,3,1,1,0,1,0,11
139,1,1,0,3,3,1,1,0,1,0,11
140,1,1,0,3,3,1,1,0,1,0,11
141,1,1,0,3,3,1,1,0,1,0,11
142,0,0,1,0,5,5,2,2,2,2,0
143,0,0,3,1,0,6,6,6,6,6,6
144,1,1,0,3,3,1,1,0,1,0,11
145,0,0,1,0,1,0,5,5,5,5,2
146,1,1,0,3,3,1,1,0,1,0,11
147,0,0,3,1,0,6,6,6,6,6,6
148,1,1,0,3,3,1,1,0,1,0,11
149,0,0,3,1,0,3,3,1,0,10,10
