,K2,K3,K4,K5,K6,K7,K8,K9,K10,K11,K12
0,1,1,2,1,2,3,4,5,6,7,8
1,1,1,2,1,2,3,4,5,6,7,8
2,1,1,1,2,3,4,5,6,5,6,7
3,1,1,2,1,2,3,4,5,6,7,8
4,1,1,2,1,2,3,4,5,6,7,8
5,1,1,1,2,3,4,5,6,5,6,2
6,1,1,1,2,3,4,5,6,5,6,7
7,1,1,2,1,2,3,4,5,6,7,8
8,1,2,3,4,5,6,7,8,9,10,11
9,0,0,0,0,0,0,1,1,1,2,3
10,1,1,2,1,2,3,4,5,6,7,8
11,1,1,2,1,2,3,4,5,6,7,8
12,1,1,1,2,3,4,5,6,5,6,7
13,1,2,3,4,5,6,7,8,9,10,11
14,0,0,0,0,0,0,1,1,1,2,3
15,1,1,1,2,3,4,5,6,5,6,7
16,1,1,2,1,2,3,4,5,6,7,8
17,1,1,2,1,2,3,4,5,6,7,8
18,1,1,2,1,1,2,3,3,3,4,5
19,1,1,2,1,2,3,4,5,6,7,8
20,1,1,1,2,3,4,5,6,5,6,7
21,0,0,0,0,0,0,1,1,1,2,3
22,1,1,2,1,1,2,3,3,3,4,5
23,1,1,1,2,3,4,5,6,5,6,2
24,0,0,0,0,0,1,2,2,2,3,4
25,1,1,2,1,1,2,3,3,3,4,5
26,1,1,2,1,2,3,4,5,6,7,8
27,0,0,0,0,0,0,1,1,1,2,3
28,1,1,2,1,2,3,4,5,6,7,8
29,1,1,1,2,3,4,5,6,5,6,7
30,1,1,1,2,3,4,5,6,5,6,7
31,1,1,1,2,3,4,5,6,5,6,7
32,1,1,2,1,2,3,4,5,6,7,8
33,1,1,2,1,1,2,3,3,3,4,5
34,1,2,3,4,5,6,7,8,9,10,11
35,1,1,1,2,3,4,5,6,5,6,2
36,1,1,2,1,2,3,4,5,6,7,8
37,1,1,1,2,3,4,5,6,5,6,7
38,0,0,0,0,0,0,1,1,1,2,3
39,0,0,0,0,0,1,2,2,2,3,4
40,1,2,3,4,5,6,7,8,9,10,11
41,1,2,3,4,5,6,7,8,9,10,11
42,1,1,1,2,3,4,5,6,5,6,2
43,1,1,1,2,3,4,5,6,5,6,7
44,1,1,1,2,3,4,5,6,7,8,9
45,1,1,2,1,2,3,4,5,6,7,8
46,1,1,1,2,3,4,5,6,7,8,9
47,1,1,2,1,2,3,4,5,6,7,8
48,1,2,3,4,5,6,7,8,9,10,11
49,1,1,2,1,2,3,4,5,6,7,8
50,0,0,0,0,0,0,1,1,1,2,3
51,1,1,2,1,2,3,4,5,6,7,8
52,1,2,3,4,5,6,7,8,9,10,11
53,1,1,2,1,2,3,4,5,6,7,8
54,1,1,1,2,3,4,5,6,7,8,9
55,1,1,2,1,2,3,4,5,6,7,8
56,1,1,2,1,2,3,4,5,6,7,8
57,1,2,3,4,5,6,7,8,9,10,11
58,1,1,2,1,2,3,4,5,6,7,8
59,1,2,3,4,5,6,7,8,9,10,11
60,1,1,1,2,3,4,5,6,5,6,7
61,1,1,1,2,3,4,5,6,7,8,9
62,0,0,0,0,0,1,2,2,2,3,4
63,1,1,1,2,3,4,5,6,5,6,2
64,1,1,2,1,2,3,4,5,6,7,8
65,0,0,0,0,0,1,2,2,2,3,4
66,1,1,2,1,2,3,4,5,6,7,8
67,1,1,2,1,2,3,4,5,6,7,8
68,1,2,3,4,5,6,7,8,9,10,11
69,1,1,2,1,2,3,4,5,6,7,8
70,1,1,1,2,3,4,5,6,5,6,7
71,1,1,2,1,2,3,4,5,6,7,8
72,1,1,2,1,2,3,4,5,6,7,8
73,1,1,2,1,2,3,4,5,6,7,8
74,1,1,2,1,2,3,4,5,6,7,8
75,1,2,3,4,5,6,7,8,9,10,11
76,1,1,1,2,3,4,5,6,7,8,9
77,1,1,2,1,2,3,4,5,6,7,8
78,1,1,2,1,1,2,3,3,3,4,5
79,0,0,0,0,0,0,1,1,1,2,3
