,K2,K3,K4,K5,K6,K7,K8,K9,K10,K11,K12
0,1,1,2,1,2,6,4,5,8,3,6
1,1,1,2,1,3,6,2,1,3,1,5
2,1,1,2,1,3,6,2,1,8,8,5
3,1,1,2,1,2,6,4,5,3,3,6
4,1,0,1,3,1,3,1,8,1,9,1
5,1,0,1,3,5,3,1,8,1,9,1
6,1,1,2,1,3,3,2,1,1,8,5
7,1,1,2,1,2,6,4,4,8,8,9
8,0,2,3,0,0,4,0,2,2,0,11
9,0,2,3,2,4,0,3,0,9,0,7
10,1,0,1,3,1,3,1,8,1,9,1
11,1,1,2,1,3,6,2,5,3,1,6
12,1,1,1,3,1,5,6,6,7,2,3
13,0,2,3,2,4,0,3,0,0,5,2
14,0,0,1,0,0,4,5,3,2,10,11
15,1,1,2,1,2,6,4,5,8,8,9
16,1,1,2,1,1,5,6,4,7,7,0
17,1,1,2,1,1,2,6,4,7,2,3
18,1,1,2,1,3,6,2,1,3,8,5
19,0,2,3,0,0,4,0,2,2,0,11
20,1,1,2,1,1,2,6,4,7,2,3
21,0,2,3,2,4,4,3,0,0,5,11
22,1,1,2,4,3,6,2,1,3,3,5
23,1,1,1,4,1,3,5,8,1,10,5
24,0,0,1,0,5,1,7,7,4,0,8
25,1,0,1,4,1,3,5,8,1,9,5
26,0,0,1,0,0,1,0,3,2,10,11
27,0,0,0,3,5,4,5,3,2,6,1
28,1,1,1,3,1,5,6,6,7,2,0
29,1,1,2,1,1,5,6,4,7,7,0
30,1,1,2,1,2,6,4,5,8,3,9
31,1,1,2,1,2,6,2,4,8,7,9
32,1,1,2,1,2,6,4,5,8,8,9
33,1,1,2,1,3,6,2,1,8,8,5
34,0,0,1,0,5,1,0,2,4,0,7
35,1,0,1,4,1,3,5,8,1,10,5
36,1,1,2,1,2,6,4,5,8,8,9
37,1,1,2,1,2,6,4,5,8,8,9
38,0,0,0,3,5,1,1,7,6,6,10
39,0,0,1,3,5,1,7,7,4,10,8
40,0,2,3,2,4,0,3,0,9,5,7
41,0,0,0,2,5,4,1,7,6,6,10
42,0,0,1,3,5,3,1,7,4,9,1
43,1,1,2,1,2,6,4,5,8,8,9
44,0,0,0,3,5,4,5,8,1,6,10
45,1,1,2,1,2,6,4,5,8,8,9
46,0,0,0,3,5,4,5,3,6,6,10
47,1,0,1,3,1,2,7,6,5,4,8
48,0,2,3,2,4,0,3,0,0,5,2
49,1,1,2,1,2,6,2,5,3,1,6
50,0,2,3,0,0,0,0,2,9,0,11
