,K2,K3,K4,K5,K6,K7,K8,K9,K10,K11,K12
0,0,1,1,0,2,0,6,6,8,7,3
1,0,1,1,0,2,0,0,3,1,1,10
2,0,1,1,0,2,0,0,3,1,7,10
3,0,1,1,0,2,0,6,6,8,9,3
4,0,0,2,4,3,6,1,7,7,2,0
5,0,0,2,4,3,6,1,7,7,2,7
6,0,1,1,0,3,0,1,3,1,5,10
7,0,1,1,0,2,0,6,6,6,7,3
8,1,2,0,3,4,3,2,5,2,6,5
9,1,2,3,2,1,3,3,5,2,0,6
10,0,0,2,4,3,6,1,7,7,2,0
11,0,1,1,0,2,0,6,3,8,9,3
12,0,1,2,4,3,5,7,0,6,3,9
13,1,2,3,1,1,1,3,1,9,8,2
14,1,0,0,3,5,3,2,5,3,4,1
15,0,1,1,0,2,0,6,6,8,7,3
16,0,1,1,0,0,4,0,8,4,3,9
17,0,1,1,0,2,5,7,0,6,1,8
18,0,1,1,0,2,0,0,3,1,1,10
19,1,2,0,3,4,3,2,5,2,10,6
20,0,1,1,0,2,5,7,0,6,3,8
21,1,2,3,3,4,1,3,1,9,8,2
22,0,1,1,0,2,0,6,3,1,1,10
23,0,1,2,4,3,6,1,7,1,1,0
24,1,0,0,2,5,2,4,2,3,4,5
25,0,0,2,4,3,6,1,7,1,1,0
26,1,0,0,3,5,3,2,4,0,10,5
27,1,0,2,4,4,6,5,7,5,2,1
28,0,1,2,4,0,4,7,8,4,3,9
29,0,1,1,0,0,4,7,8,4,3,9
30,0,1,1,0,2,0,6,6,8,7,3
31,0,1,1,0,2,0,0,6,6,7,10
32,0,1,1,0,2,0,6,6,8,7,3
33,0,1,1,0,2,0,6,3,1,7,10
34,1,0,0,3,5,3,2,2,3,4,5
35,0,0,2,4,3,6,1,7,7,2,0
36,0,1,1,0,2,0,0,6,8,7,3
37,0,1,1,0,2,0,6,6,8,7,3
38,1,0,0,3,4,3,5,2,0,10,4
39,1,0,0,3,5,2,4,2,3,4,5
40,1,2,3,1,1,1,3,1,9,0,6
41,1,0,0,3,4,3,5,4,0,10,4
42,1,0,2,4,3,6,4,7,7,2,7
43,0,1,1,0,2,0,6,6,8,7,3
44,1,0,2,3,4,6,5,7,5,2,1
45,0,1,1,0,2,0,6,6,8,7,3
46,1,0,2,4,3,6,5,7,5,2,11
47,0,0,2,4,0,2,7,0,0,5,9
48,1,2,3,1,1,1,3,1,9,8,2
49,0,1,1,0,2,0,0,6,8,9,3
50,1,2,3,2,1,3,2,5,2,10,6
51,0,1,1,0,2,0,6,3,8,9,3
52,1,0,0,3,5,3,2,5,2,6,5
53,1,0,0,3,5,2,4,2,0,4,5
54,1,0,0,3,4,6,5,4,5,10,11
55,0,1,1,0,2,0,0,3,8,9,3
56,0,1,1,0,2,0,6,6,8,7,3
57,1,2,3,1,1,1,3,1,9,8,2
58,0,1,2,4,0,4,7,0,6,3,9
59,1,2,3,1,1,1,3,1,9,8,2
60,0,1,1,0,2,5,0,0,6,1,8
61,0,1,1,0,2,0,0,3,6,1,10
62,1,0,0,3,4,3,5,4,0,10,11
63,0,1,1,0,2,5,1,6,6,7,0
64,0,1,1,0,2,0,6,6,8,7,3
65,0,0,2,4,0,2,4,2,3,4,5
66,0,1,1,0,2,0,6,6,8,7,3
67,0,1,1,0,2,4,7,8,6,3,9
68,1,2,0,2,1,3,2,5,2,0,6
69,0,1,1,0,2,0,0,3,8,9,3
70,0,1,1,0,2,4,0,8,4,9,8
71,0,1,2,4,3,5,1,7,6,1,8
72,0,0,2,4,0,2,7,0,6,3,8
73,0,1,1,0,2,0,0,3,6,9,3
74,0,1,1,0,2,4,0,8,6,3,9
75,1,2,0,3,4,3,2,5,2,6,5
76,0,0,2,4,3,6,1,7,7,2,0
77,1,0,0,3,5,2,4,2,3,4,5
78,0,1,1,4,3,5,1,3,1,1,0
79,1,0,0,3,5,5,7,4,0,10,1
80,0,0,2,4,5,5,7,0,6,3,8
81,1,0,2,3,5,5,7,4,0,10,1
82,1,2,3,2,1,3,2,5,2,0,6
83,0,0,2,4,5,2,7,0,3,4,0
84,0,1,1,0,2,0,6,6,8,7,3
85,1,2,3,1,1,1,3,1,9,8,2
86,1,0,0,3,5,3,2,4,3,6,5
87,1,0,2,4,5,2,5,2,0,4,4
88,0,1,1,0,2,0,6,6,8,7,3
89,0,1,1,0,2,0,6,6,8,7,3
90,0,1,1,0,2,0,0,3,1,9,10
91,1,2,3,1,1,1,3,1,9,8,2
92,0,1,1,0,2,0,0,3,1,9,10
93,1,2,3,1,1,1,3,1,9,8,2
94,1,0,2,4,3,6,1,7,7,6,7
95,1,2,3,1,1,1,3,1,9,8,2
96,1,0,2,4,5,6,7,0,3,4,1
97,1,2,0,2,1,3,2,5,2,0,6
98,0,1,1,0,2,5,6,6,8,1,3
99,0,1,1,0,2,0,6,6,8,7,3
