,K2,K3,K4,K5,K6,K7,K8,K9,K10,K11,K12
0,1,0,2,2,5,4,1,4,9,10,6
1,1,0,3,4,0,3,5,4,3,9,11
2,1,0,2,2,5,4,1,1,9,9,3
3,1,0,2,2,5,4,7,4,3,2,6
4,1,1,0,1,2,1,3,2,0,1,9
5,0,1,0,1,2,1,0,3,0,7,9
6,1,0,2,2,0,1,3,1,1,9,2
7,1,0,2,2,0,1,3,1,9,9,6
8,0,2,1,3,3,0,2,6,6,3,0
9,0,2,1,3,3,0,4,6,6,3,5
10,1,1,0,1,2,1,3,2,0,1,9
11,1,0,2,2,5,4,7,4,3,2,6
12,1,0,3,4,0,3,5,5,8,9,11
13,0,2,1,0,1,5,4,8,2,6,4
14,0,1,0,3,4,2,0,6,6,1,8
15,1,0,2,2,5,4,1,4,9,10,6
16,1,0,3,4,0,3,5,7,8,5,10
17,1,0,2,2,5,3,1,1,1,10,6
18,1,0,3,2,0,4,7,4,3,2,6
19,0,2,1,3,3,0,2,6,6,3,5
20,1,0,3,4,0,3,5,7,8,5,11
21,0,2,1,0,1,5,4,8,2,6,4
22,1,0,2,2,5,4,7,4,3,2,2
23,1,0,3,4,0,1,3,2,0,9,2
24,0,1,0,3,4,2,2,0,4,0,8
25,1,0,3,4,0,1,3,2,0,9,2
26,0,1,0,3,4,0,0,6,6,1,0
27,0,1,0,1,2,6,6,3,0,1,9
28,1,1,3,4,0,3,5,5,8,5,10
29,1,0,3,4,0,3,5,7,7,5,10
30,1,0,2,2,5,4,7,4,3,2,6
31,1,0,2,2,5,4,1,1,9,10,3
32,1,0,2,2,5,4,1,1,9,10,3
33,1,0,2,2,5,4,7,4,9,9,6
34,0,1,0,3,4,2,0,0,4,1,8
35,1,1,0,1,2,1,3,2,0,9,2
36,1,0,2,2,5,4,1,1,9,10,3
37,1,0,2,2,5,4,1,4,9,10,6
38,0,2,0,1,4,6,0,0,6,0,8
39,0,1,0,1,4,2,0,0,4,0,8
40,0,2,1,0,3,5,4,8,2,3,5
41,0,1,0,1,2,6,6,3,5,7,0
42,0,1,0,1,2,6,0,3,0,7,7
43,1,0,2,2,5,4,7,4,3,2,6
44,0,1,0,1,2,6,6,3,0,7,9
45,1,0,2,2,5,4,7,4,3,2,6
46,0,1,0,1,2,6,6,3,0,1,9
47,1,1,0,4,4,2,0,5,4,0,10
48,0,2,1,0,1,5,4,8,2,6,4
49,1,0,2,2,5,4,7,4,9,10,3
50,0,2,1,3,3,0,2,6,6,3,5
51,1,0,2,2,5,4,7,4,3,2,6
52,0,1,1,3,3,0,2,6,6,3,5
