,K2,K3,K4,K5,K6,K7,K8,K9,K10,K11,K12
0,0,2,1,0,5,1,6,3,5,1,1
1,0,2,1,1,5,0,3,1,9,8,8
2,0,2,1,0,5,1,3,3,4,7,1
3,0,2,1,0,5,1,6,3,5,1,4
4,0,1,2,1,3,6,1,5,7,0,2
5,1,1,2,4,4,6,1,5,7,0,2
6,0,2,1,1,5,1,3,3,7,7,1
7,0,2,1,1,5,1,3,3,4,7,1
8,1,1,3,3,0,3,7,8,1,10,6
9,1,0,3,3,2,3,4,4,0,3,11
10,0,1,2,1,3,6,1,5,3,0,2
11,0,2,1,0,5,1,6,6,5,1,4
12,0,2,2,1,1,0,3,1,9,8,8
13,1,0,0,3,2,5,4,4,0,3,3
14,1,1,2,4,1,4,1,7,8,2,0
15,0,2,1,0,5,1,6,6,4,4,1
16,0,2,1,1,1,0,2,1,9,8,8
17,0,2,1,1,5,1,2,3,4,7,1
18,0,2,1,1,5,1,3,1,5,9,4
19,1,0,3,3,0,3,7,8,8,10,6
20,0,2,1,1,1,0,3,1,9,8,8
21,1,0,3,3,2,3,4,2,0,3,0
22,0,2,1,0,5,1,6,6,5,1,4
23,0,2,2,1,1,6,3,7,3,8,8
24,1,1,3,4,0,4,7,0,1,5,9
25,0,2,2,1,1,6,3,7,3,0,2
26,1,1,2,4,4,3,7,8,1,2,6
27,1,1,2,4,3,6,1,5,6,0,2
28,0,1,2,1,1,0,3,1,9,8,8
29,0,2,1,1,1,0,2,6,9,8,8
30,0,2,1,0,5,1,6,3,5,9,4
31,0,2,1,0,5,1,3,3,4,4,1
32,0,2,1,0,5,1,3,3,4,7,1
33,0,2,1,0,5,1,6,3,4,1,4
34,1,1,2,4,4,4,1,8,8,5,10
35,0,1,2,1,3,6,1,5,3,0,2
36,0,2,1,0,5,1,3,3,4,4,1
37,0,2,1,0,5,1,6,3,4,9,1
38,1,1,3,4,4,4,4,0,8,2,0
39,1,1,2,4,4,4,1,0,8,2,9
40,1,0,3,3,2,5,0,4,0,3,11
41,1,1,2,2,4,6,1,5,6,0,2
42,1,1,2,4,4,6,1,7,8,0,2
43,0,2,1,0,5,1,3,3,5,9,1
44,1,1,2,2,3,6,1,5,3,0,2
45,0,2,1,0,5,1,6,3,5,1,1
46,1,1,2,2,3,6,1,5,6,0,2
47,0,1,2,4,1,4,2,0,7,5,10
48,1,0,0,3,2,5,0,2,0,3,3
49,0,2,1,0,5,1,6,3,4,4,1
50,1,0,3,3,2,3,0,8,0,10,6
51,0,2,1,0,5,1,6,6,5,1,4
52,1,1,3,4,0,3,7,8,1,10,6
53,1,1,2,4,4,4,1,0,2,5,10
54,1,1,2,4,4,6,1,5,6,0,2
55,0,2,1,0,5,1,6,3,4,4,1
56,0,2,1,0,5,1,3,3,4,9,1
57,1,0,0,3,2,2,4,4,0,3,3
58,0,2,2,1,1,0,3,1,9,8,8
59,1,0,3,3,2,5,0,4,0,3,11
60,0,2,1,1,1,0,3,1,9,8,8
61,0,2,1,1,5,1,3,3,4,7,1
62,1,1,2,4,4,6,1,5,6,0,2
63,0,2,2,1,1,0,3,1,9,8,8
64,0,2,1,0,5,1,6,3,4,9,1
65,1,1,2,4,4,4,1,0,8,5,9
66,0,2,1,0,5,1,6,3,4,4,1
67,0,2,1,1,1,0,3,1,9,8,8
68,1,0,3,3,0,3,7,8,0,10,6
69,0,2,1,0,5,1,6,6,5,1,1
70,0,2,1,0,5,0,2,1,9,8,8
71,0,1,2,1,1,0,3,1,3,8,2
72,0,2,2,1,1,0,2,1,7,5,8
73,0,2,1,0,5,1,3,1,4,4,1
74,0,2,1,0,5,0,3,1,9,8,8
75,1,0,3,3,0,3,7,8,0,10,7
76,0,1,2,1,1,6,1,5,7,0,2
77,1,1,2,4,1,4,1,0,2,5,0
78,0,2,1,1,1,1,3,1,9,8,8
79,1,1,2,4,1,6,1,7,8,2,0
80,0,1,2,1,1,0,3,1,2,8,8
81,1,1,2,4,1,6,1,7,8,2,0
82,1,0,3,3,0,3,0,4,0,10,11
83,0,1,2,1,1,4,1,7,7,2,10
84,0,2,1,0,5,1,6,3,5,9,1
85,1,0,0,3,2,5,0,2,0,3,3
86,0,1,2,1,1,4,5,8,1,2,6
87,1,1,2,4,4,4,1,5,6,0,2
88,0,2,1,0,5,1,6,3,4,4,1
89,0,2,1,0,5,1,6,3,5,9,1
90,0,2,1,0,5,1,6,3,5,1,4
91,1,0,0,3,2,5,0,2,0,3,3
92,0,2,1,0,5,1,6,6,4,6,4
93,1,0,0,3,2,5,4,4,0,3,3
94,1,1,2,4,4,6,1,5,3,0,7
95,1,0,0,3,2,5,0,4,0,3,3
96,0,1,2,4,1,6,1,7,7,2,0
97,1,0,3,3,0,3,7,8,0,10,6
98,0,2,1,1,1,1,3,3,5,9,8
99,0,2,1,0,5,1,6,3,4,4,1
100,0,2,1,1,5,1,3,3,4,7,1
101,1,1,3,4,0,3,7,8,8,10,6
102,1,0,3,3,0,3,0,4,0,10,11
103,1,0,3,3,2,3,0,4,0,3,11
104,0,2,1,0,5,1,6,3,5,1,5
105,1,0,3,4,4,3,4,4,8,3,11
106,1,0,3,3,0,5,4,4,0,3,11
107,0,2,1,0,5,1,2,6,9,4,8
108,1,0,3,3,0,3,0,8,8,10,11
109,0,2,1,1,1,0,2,6,9,8,8
110,0,2,1,1,1,0,3,1,9,7,1
111,1,1,3,4,0,3,7,7,8,2,0
112,0,1,2,1,1,0,3,7,7,8,8
113,0,2,1,0,5,1,6,3,4,4,1
114,1,1,2,4,3,6,1,5,6,0,2
115,1,1,2,4,3,6,1,5,6,0,2
116,0,1,2,1,1,0,1,1,2,5,8
117,0,1,2,1,1,0,2,7,9,8,8
118,0,2,2,1,1,0,2,1,1,8,8
119,0,2,2,1,1,0,2,1,7,8,8
120,0,2,1,0,5,1,6,6,5,6,4
121,0,2,1,0,5,1,2,6,5,1,8
122,0,2,1,0,5,1,6,6,5,1,4
123,0,1,2,1,1,0,3,1,9,8,8
124,0,1,2,1,1,0,3,1,7,7,8
125,1,0,3,3,0,3,7,8,0,10,6
126,0,1,2,1,1,4,1,5,7,0,2
127,0,1,2,4,1,4,1,5,1,0,2
128,1,0,0,3,2,5,4,2,0,3,3
129,1,0,3,3,2,2,4,2,0,2,7
130,1,0,0,3,2,5,4,4,0,3,3
131,0,2,1,0,5,1,6,3,4,4,1
132,0,1,2,1,1,0,3,1,9,8,8
133,0,1,2,1,1,6,3,7,3,0,2
134,0,2,1,1,1,0,3,1,9,8,8
135,0,2,2,1,1,0,3,1,9,8,8
136,1,0,3,3,0,3,0,4,0,10,11
137,0,2,1,0,5,1,6,3,4,7,1
138,0,2,1,0,5,1,3,3,4,4,1
139,0,2,1,0,5,1,6,3,5,1,1
140,0,2,1,1,5,1,3,1,5,9,8
