,K2,K3,K4,K5,K6,K7,K8,K9,K10,K11,K12
0,1,1,2,4,4,2,3,5,5,6,2
1,1,1,2,4,4,2,3,8,9,10,11
2,1,1,2,4,4,2,3,5,1,8,1
3,1,1,2,4,4,2,3,8,9,10,11
4,1,2,1,3,2,4,2,3,1,8,1
5,1,2,1,3,2,4,2,3,1,8,1
6,1,1,1,3,2,4,2,3,1,8,1
7,1,1,2,4,4,2,3,3,1,8,1
8,0,2,0,0,0,0,0,0,0,1,0
9,0,0,3,2,5,6,7,4,6,7,5
10,1,2,1,3,2,4,2,3,1,8,1
11,1,1,2,4,4,2,3,5,9,10,2
12,1,2,2,1,1,1,6,1,2,3,7
13,0,0,3,2,3,3,5,6,3,5,6
14,1,2,0,1,1,1,6,1,0,3,0
15,1,1,2,4,4,2,3,5,5,6,2
16,1,1,2,1,1,1,6,1,2,3,7
17,1,1,2,4,4,2,3,5,5,9,2
18,1,1,2,4,4,2,3,8,9,10,11
19,0,2,0,0,0,0,0,0,0,0,0
20,1,1,2,1,1,1,6,1,2,3,7
21,0,0,3,2,3,3,0,0,3,5,0
22,1,1,2,4,4,2,3,8,9,10,11
23,1,2,1,3,2,4,2,3,1,8,1
24,0,2,0,1,1,1,0,0,0,3,3
25,1,2,1,3,2,4,2,3,1,8,1
26,1,2,0,0,0,0,0,0,0,1,0
27,1,2,1,3,2,4,2,3,1,8,1
28,1,2,0,1,1,1,6,1,2,3,7
29,1,1,2,1,1,1,6,1,2,3,7
30,1,1,2,4,4,2,3,8,9,10,11
31,1,1,2,4,4,2,3,5,5,6,2
32,1,1,2,4,4,2,3,5,5,6,2
33,1,1,2,4,4,2,3,2,1,10,1
34,0,2,0,0,0,0,0,0,0,0,3
35,1,2,1,3,2,4,2,3,1,8,1
36,1,1,2,4,4,2,3,5,5,6,2
37,1,1,2,4,4,2,3,5,9,10,2
38,0,2,1,3,2,4,0,0,0,1,0
39,1,2,1,3,2,4,0,0,0,9,3
40,0,0,3,0,0,0,1,7,8,2,9
41,0,2,1,3,2,4,0,0,7,1,10
42,0,2,1,3,2,4,2,3,1,8,3
43,1,1,2,4,4,2,3,8,9,10,11
44,1,2,1,3,2,4,2,3,7,8,1
45,1,1,2,4,4,2,3,8,9,10,11
46,1,2,1,3,2,4,2,3,7,8,10
47,1,2,1,1,1,1,6,1,2,9,3
48,0,0,3,2,3,3,5,6,8,2,4
49,1,1,2,4,4,2,3,5,5,6,2
50,0,0,0,0,0,0,0,0,0,0,0
51,1,1,2,4,4,2,3,8,9,10,11
52,0,2,0,0,0,0,1,7,0,0,9
53,1,2,1,1,1,1,0,0,0,1,3
54,0,2,1,3,2,4,0,0,7,1,0
55,1,1,2,4,4,2,3,5,5,6,2
56,1,1,2,4,4,2,3,8,9,10,2
57,0,0,3,2,3,3,5,6,3,5,6
58,1,2,2,1,1,1,6,1,2,3,7
